Load,Temp,Peak,Flat,Valley,Weekday,Weather
0.4025,0.7059,0.4533,0.9452,0.187,1,0
0.6249,0.7059,0.4667,0.3972,0.2033,1,0.4286
0.7944,0.7059,0.16,0.1233,0.5122,1,0.7143
0.8859,0.5882,0.12,0.0822,0.3659,1,0.4286
1,0.6471,0,0,0,0,1
0.8784,0.7647,0.1067,0.0548,1,0,0.7143
0.9512,0.8235,0.0533,0.0548,0.0244,1,0.7143
0.5717,0.9412,0.44,0.9178,0.2683,1,0.4286
0.4351,0.7647,0.48,0.863,0.5366,1,0.7143
0.5603,0.8235,0.4267,1,0.5528,1,0.4286
0.5906,0.8235,0.4533,0.7397,0.5772,1,0.1429
0.4202,0.7059,0.4667,0.8767,0.5284,0,0.4286
0.045,0.7647,0.8667,0.9178,0.6341,0,0.2857
0,0.8824,1,1,0.6829,1,0.7143
0.233,0.8235,0.8933,0.8767,0.6504,1,0.7143
0.4036,0.9412,0.88,0.863,0.6585,1,0.4286
0.34,1,0.72,0.7123,0.3577,1,1
0.3019,0,0.68,0.726,0.2683,1,0.4286
0.33,0.4706,0.6933,0.7397,0.2602,0,0.7143
0.0687,1,0.933,1,0.5854,0,0.7143